Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-01-11,Wednesday,NTFGH,12.0,316.0,90.9,0
2023-01-11,Wednesday,NUH(A),4.8,300.0,87.1,0
2023-01-11,Wednesday,SGH,6.1,307.0,89.6,0
2023-01-11,Wednesday,SKH,16.3,325.0,92.2,0
2023-01-11,Wednesday,TTSH,6.8,316.0,97.1,0
2023-01-11,Wednesday,WH,,,,0
2023-01-12,Thursday,AH,2.4,52.0,85.5,0
2023-01-12,Thursday,CGH,14.0,351.0,87.0,0
2023-01-12,Thursday,KTPH,11.4,287.0,93.6,0
2023-01-12,Thursday,NTFGH,9.5,345.0,89.1,0
2023-01-12,Thursday,NUH(A),5.4,276.0,85.9,0
2023-01-12,Thursday,SGH,3.1,302.0,86.2,0
2023-01-12,Thursday,SKH,5.6,323.0,94.2,0
2023-01-12,Thursday,TTSH,4.6,354.0,94.0,0
2023-01-12,Thursday,WH,,,,0
2023-01-13,Friday,AH,1.4,54.0,82.6,0
2023-01-13,Friday,CGH,7.9,381.0,87.3,0
2023-01-13,Friday,KTPH,3.5,304.0,94.2,0
2023-01-13,Friday,NTFGH,5.5,308.0,88.0,0
2023-01-13,Friday,NUH(A),3.8,291.0,82.9,0
2023-01-13,Friday,SGH,2.0,275.0,81.4,0
2023-01-13,Friday,SKH,8.3,285.0,91.9,0
2023-01-13,Friday,TTSH,5.2,355.0,90.7,0
2023-01-13,Friday,WH,,,,0
2023-01-14,Saturday,AH,1.2,42.0,82.3,0
2023-01-14,Saturday,CGH,3.6,327.0,87.7,0
2023-01-14,Saturday,KTPH,4.8,291.0,92.2,0
2023-01-14,Saturday,NTFGH,2.5,298.0,90.4,0
2023-01-14,Saturday,NUH(A),2.3,247.0,79.4,0
2023-01-14,Saturday,SGH,0.8,281.0,78.6,0
2023-01-14,Saturday,SKH,5.2,307.0,89.8,0
2023-01-14,Saturday,TTSH,4.1,317.0,90.3,0
2023-01-14,Saturday,WH,,,,0
2023-01-15,Sunday,AH,1.4,68.0,85.5,0
2023-01-15,Sunday,CGH,10.2,282.0,86.8,0
2023-01-15,Sunday,KTPH,16.4,270.0,83.9,0
2023-01-15,Sunday,NTFGH,4.0,242.0,89.8,0
2023-01-15,Sunday,NUH(A),1.8,235.0,79.8,0
2023-01-15,Sunday,SGH,0.8,262.0,79.0,0
2023-01-15,Sunday,SKH,5.1,319.0,90.6,0
2023-01-15,Sunday,TTSH,3.9,304.0,94.4,0
2023-01-15,Sunday,WH,,,,0
2023-01-16,Monday,AH,2.7,67.0,87.9,0
2023-01-16,Monday,CGH,12.6,403.0,87.7,0
2023-01-16,Monday,KTPH,17.7,341.0,96.5,0
2023-01-16,Monday,NTFGH,6.5,385.0,90.4,0
2023-01-16,Monday,NUH(A),2.8,325.0,85.2,0
2023-01-16,Monday,SGH,1.5,342.0,83.6,0
2023-01-16,Monday,SKH,5.5,362.0,91.1,0
2023-01-16,Monday,TTSH,5.2,388.0,94.2,0
2023-01-16,Monday,WH,,,,0
2023-01-17,Tuesday,AH,1.5,55.0,84.0,0
2023-01-17,Tuesday,CGH,8.5,354.0,87.1,0
2023-01-17,Tuesday,KTPH,4.4,313.0,95.7,0
2023-01-17,Tuesday,NTFGH,8.5,327.0,92.1,0
2023-01-17,Tuesday,NUH(A),3.8,242.0,84.8,0
2023-01-17,Tuesday,SGH,1.4,278.0,81.9,0
2023-01-17,Tuesday,SKH,3.7,315.0,89.0,0
2023-01-17,Tuesday,TTSH,4.8,313.0,93.6,0
2023-01-17,Tuesday,WH,,,,0
2023-01-18,Wednesday,AH,1.0,52.0,76.2,0
2023-01-18,Wednesday,CGH,4.5,332.0,84.7,0
2023-01-18,Wednesday,KTPH,7.1,308.0,94.6,0
2023-01-18,Wednesday,NTFGH,9.2,314.0,88.6,0
2023-01-18,Wednesday,NUH(A),2.5,262.0,81.3,0
2023-01-18,Wednesday,SGH,1.2,290.0,79.6,0
2023-01-18,Wednesday,SKH,3.0,311.0,91.2,0
2023-01-18,Wednesday,TTSH,3.6,333.0,94.9,0
2023-01-18,Wednesday,WH,,,,0
2023-01-19,Thursday,AH,1.3,50.0,65.6,0
2023-01-19,Thursday,CGH,3.0,329.0,83.1,0
2023-01-19,Thursday,KTPH,2.2,300.0,92.5,0
2023-01-19,Thursday,NTFGH,3.1,288.0,88.4,0
2023-01-19,Thursday,NUH(A),2.1,265.0,79.0,0
2023-01-19,Thursday,SGH,1.1,277.0,76.9,0
2023-01-19,Thursday,SKH,2.6,277.0,85.5,0
2023-01-19,Thursday,TTSH,3.8,333.0,92.5,0
2023-01-19,Thursday,WH,,,,0
2023-01-20,Friday,AH,1.6,47.0,55.7,0
2023-01-20,Friday,CGH,1.8,322.0,78.7,0
2023-01-20,Friday,KTPH,1.3,251.0,84.5,0
2023-01-20,Friday,NTFGH,2.0,275.0,78.0,0
2023-01-20,Friday,NUH(A),2.1,274.0,69.8,0
2023-01-20,Friday,SGH,0.8,293.0,67.1,0
2023-01-20,Friday,SKH,1.8,286.0,74.3,0
2023-01-20,Friday,TTSH,3.7,287.0,79.0,0
2023-01-20,Friday,WH,,,,0
2023-01-21,Saturday,AH,1.3,55.0,50.4,0
2023-01-21,Saturday,CGH,1.0,300.0,75.6,0
2023-01-21,Saturday,KTPH,0.8,218.0,78.6,0
2023-01-21,Saturday,NTFGH,1.7,233.0,72.0,0
2023-01-21,Saturday,NUH(A),1.9,225.0,61.4,0
2023-01-21,Saturday,SGH,0.9,252.0,59.2,0
2023-01-21,Saturday,SKH,1.7,263.0,66.3,0
2023-01-21,Saturday,TTSH,3.1,280.0,74.0,0
2023-01-21,Saturday,WH,,,,0
2023-01-22,Sunday,AH,0.7,39.0,52.8,1
2023-01-22,Sunday,CGH,0.7,288.0,79.7,1
2023-01-22,Sunday,KTPH,0.7,239.0,80.8,1
2023-01-22,Sunday,NTFGH,1.7,273.0,82.2,1
2023-01-22,Sunday,NUH(A),1.6,162.0,63.3,1
2023-01-22,Sunday,SGH,0.8,208.0,58.5,1
2023-01-22,Sunday,SKH,1.1,285.0,70.0,1
2023-01-22,Sunday,TTSH,3.3,278.0,76.6,1
2023-01-22,Sunday,WH,,,,1
2023-01-23,Monday,AH,0.9,57.0,55.0,1
2023-01-23,Monday,CGH,1.7,340.0,82.2,1
2023-01-23,Monday,KTPH,0.7,293.0,83.9,1
2023-01-23,Monday,NTFGH,1.5,291.0,86.6,1
2023-01-23,Monday,NUH(A),1.7,245.0,65.4,1
2023-01-23,Monday,SGH,0.9,303.0,61.1,1
2023-01-23,Monday,SKH,1.7,312.0,74.6,1
2023-01-23,Monday,TTSH,3.0,352.0,83.3,1
2023-01-23,Monday,WH,,,,1
2023-01-24,Tuesday,AH,1.1,45.0,59.2,0
2023-01-24,Tuesday,CGH,2.3,360.0,85.2,0
2023-01-24,Tuesday,KTPH,0.8,338.0,89.9,0
2023-01-24,Tuesday,NTFGH,3.0,358.0,88.6,0
2023-01-24,Tuesday,NUH(A),1.8,268.0,71.6,0
2023-01-24,Tuesday,SGH,1.1,324.0,67.0,0
2023-01-24,Tuesday,SKH,1.4,368.0,80.3,0
2023-01-24,Tuesday,TTSH,4.3,363.0,90.6,0
2023-01-24,Tuesday,WH,,,,0
2023-01-25,Wednesday,AH,1.1,54.0,64.5,0
2023-01-25,Wednesday,CGH,5.4,389.0,86.8,0
2023-01-25,Wednesday,KTPH,1.2,372.0,91.1,0
2023-01-25,Wednesday,NTFGH,5.3,278.0,90.7,0
2023-01-25,Wednesday,NUH(A),3.2,337.0,79.0,0
2023-01-25,Wednesday,SGH,1.0,323.0,75.6,0
2023-01-25,Wednesday,SKH,2.8,390.0,87.6,0
2023-01-25,Wednesday,TTSH,4.9,424.0,94.9,0
2023-01-25,Wednesday,WH,,,,0
2023-01-26,Thursday,AH,1.4,56.0,63.8,0
2023-01-26,Thursday,CGH,6.2,365.0,87.3,0
2023-01-26,Thursday,KTPH,3.5,298.0,91.8,0
2023-01-26,Thursday,NTFGH,5.3,338.0,89.8,0
2023-01-26,Thursday,NUH(A),3.1,284.0,81.9,0
2023-01-26,Thursday,SGH,1.4,304.0,80.4,0
2023-01-26,Thursday,SKH,3.5,313.0,89.7,0
2023-01-26,Thursday,TTSH,4.3,378.0,92.6,0
2023-01-26,Thursday,WH,,,,0
2023-01-27,Friday,AH,1.7,43.0,66.7,0
2023-01-27,Friday,CGH,6.5,344.0,86.1,0
